LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,2129,2115,14,96.4,915,2.3,0.22361036641444976,0,0,0,0.0,E09000002,Barking and Dagenham
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1968,1968,0,89.7,916,2.1,0.2208517879757174,0,0,0,0.0,E09000002,Barking and Dagenham
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1666,1632,34,31.1,601,2.7,0.5394338053485915,0,0,0,0.0,E09000002,Barking and Dagenham
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1558,1558,0,64.4,652,2.4,0.23852925400487823,0,0,0,0.0,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1686,1686,0,44.9,608,2.8,0.37584342562087286,0,0,0,0.0,E09000002,Barking and Dagenham
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1416,1404,12,72.8,501,2.8,0.18838166442722992,2,2,0,10.616744501546654,E09000002,Barking and Dagenham
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1833,1833,0,61.8,732,2.5,0.3014110635043268,0,0,0,0.0,E09000002,Barking and Dagenham
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1871,1871,0,67.4,739,2.5,0.2762795892281487,2,2,0,7.239043628186451,E09000002,Barking and Dagenham
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1679,1679,0,109.1,633,2.7,0.1546731599983258,2,2,0,12.930491625189841,E09000002,Barking and Dagenham
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,2090,2090,0,81.6,758,2.8,0.25621107573607144,0,0,0,0.0,E09000002,Barking and Dagenham
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1484,1460,24,54.2,485,3.0,0.27982176962847083,0,0,0,0.0,E09000003,Barnet
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1718,1718,0,70.1,623,2.8,0.24532630938409447,0,0,0,0.0,E09000003,Barnet
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1819,1819,0,54.9,762,2.4,0.3293836266262646,0,0,0,0.0,E09000003,Barnet
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1936,1936,0,67.8,709,2.7,0.2850845199189324,0,0,0,0.0,E09000003,Barnet
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1680,1680,0,42.3,607,2.8,0.40051872282072654,0,0,0,0.0,E09000003,Barnet
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1504,1504,0,61.4,505,3.0,0.24296999106476785,0,0,0,0.0,E09000003,Barnet
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1497,1398,99,39.8,501,2.8,0.3766409340163297,0,0,0,0.0,E09000003,Barnet
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1471,1463,8,62.3,522,2.8,0.23551850981202008,0,0,0,0.0,E09000003,Barnet
