LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1849,1849,0,101.5,690,2.7,0.182167353,0,0,0,0,E09000002,Barking and Dagenham
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1582,1540,42,75.9,578,2.7,0.209342566,0,0,0,0,E09000002,Barking and Dagenham
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1809,1809,0,32.9,770,2.3,0.550401357,3,3,0,5.450567957,E09000002,Barking and Dagenham
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1776,1719,57,29.1,668,2.6,0.605528215,3,3,0,4.954352127,E09000002,Barking and Dagenham
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1952,1952,0,88.2,761,2.6,0.225914909,0,0,0,0,E09000002,Barking and Dagenham
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1620,1620,0,89.4,635,2.6,0.18252155,1,1,0,5.478805111,E09000002,Barking and Dagenham
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1893,1831,62,90.7,709,2.6,0.209303182,0,0,0,0,E09000002,Barking and Dagenham
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1736,1736,0,74.3,774,2.2,0.231233972,2,2,0,8.64924813,E09000002,Barking and Dagenham
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1928,1928,0,78.7,683,2.8,0.2458412,0,0,0,0,E09000002,Barking and Dagenham
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1969,1969,0,102.3,679,2.9,0.192149653,3,3,0,15.61283072,E09000002,Barking and Dagenham
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1590,1575,15,46.8,462,3.4,0.341692399,2,2,0,5.853217712,E09000002,Barking and Dagenham
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1763,1756,7,87.9,513,3.4,0.195356395,0,0,0,0,E09000002,Barking and Dagenham
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1975,1975,0,50.4,598,3.3,0.395818011,2,2,0,5.052827167,E09000002,Barking and Dagenham
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,2253,2251,2,83.3,785,2.9,0.270621632,0,0,0,0,E09000002,Barking and Dagenham
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1991,1991,0,38.3,784,2.5,0.522560124,0,0,0,0,E09000002,Barking and Dagenham
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1619,1619,0,56.9,627,2.6,0.282928598,0,0,0,0,E09000002,Barking and Dagenham
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1567,1567,0,95.4,629,2.5,0.164571256,0,0,0,0,E09000002,Barking and Dagenham
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,33.5,622,2.8,0.516159831,0,0,0,0,E09000002,Barking and Dagenham
